math_marks,english_marks,science_marks,interest,budget_preference,location_preference,learning_style,career_goal
74,87,95,Arts,Balanced,Kwazulu-Natal,Hands-on Practical,Quick Employment
89,71,76,Science,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
76,87,89,Arts,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
64,74,68,Education,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
88,65,92,Technology,Balanced,Other Provinces,Flexible Learning,Long-term Growth
63,79,84,Mathematics,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
69,73,73,Law,Balanced,Western Cape,Flexible Learning,Quick Employment
76,61,70,Social Sciences,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
69,68,94,Social Sciences,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
76,79,73,Mathematics,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
79,85,89,Engineering,Premium Investment,Gauteng,Hands-on Practical,Long-term Growth
83,88,63,Environment,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
64,60,63,Technology,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
93,94,87,Mathematics,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
65,65,67,Social Sciences,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
61,64,61,Science,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
72,92,81,Environment,Balanced,Other Provinces,Structured Learning,Entrepreneurial
70,73,75,Technology,Budget Conscious,Gauteng,Structured Learning,Long-term Growth
82,71,88,Business,Balanced,Other Provinces,Hands-on Practical,Long-term Growth
75,79,89,Business,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
90,83,71,Environment,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
70,93,94,Mathematics,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
75,84,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
67,88,80,Arts,Balanced,Gauteng,Flexible Learning,Long-term Growth
63,90,80,Science,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
63,82,64,Technology,Budget Conscious,Gauteng,Structured Learning,Quick Employment
84,79,79,Technology,Premium Investment,Anywhere in SA,Flexible Learning,Entrepreneurial
62,82,62,Environment,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
91,75,92,Medicine,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
62,67,68,Business,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
86,80,68,Technology,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
88,60,63,Environment,Premium Investment,Gauteng,Flexible Learning,Quick Employment
91,67,94,Education,Premium Investment,Gauteng,Flexible Learning,Quick Employment
78,88,76,Engineering,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
80,91,93,Education,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
64,64,83,Law,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
77,81,91,Mathematics,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
87,93,60,Science,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
81,60,67,Technology,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
80,85,82,Law,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
65,69,71,Social Sciences,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
60,89,71,Law,Budget Conscious,Western Cape,Flexible Learning,Quick Employment
64,77,74,Environment,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
71,76,78,Technology,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
85,85,85,Engineering,Premium Investment,Kwazulu-Natal,Flexible Learning,Quick Employment
93,67,88,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,71,81,Environment,Budget Conscious,Western Cape,Flexible Learning,Long-term Growth
85,86,80,Environment,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
86,67,79,Science,Balanced,Other Provinces,Flexible Learning,Quick Employment
68,84,88,Science,Premium Investment,Anywhere in SA,Hands-on Practical,Entrepreneurial
85,63,63,Business,Premium Investment,Western Cape,Structured Learning,Long-term Growth
81,92,66,Business,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
89,60,87,Arts,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
76,78,87,Medicine,Balanced,Other Provinces,Structured Learning,Quick Employment
85,90,63,Technology,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,75,81,Technology,Budget Conscious,Gauteng,Hands-on Practical,Entrepreneurial
60,73,71,Sports,Budget Conscious,Other Provinces,Structured Learning,Long-term Growth
67,64,62,Law,Budget Conscious,Western Cape,Flexible Learning,Quick Employment
94,85,81,Technology,Budget Conscious,Other Provinces,Hands-on Practical,Entrepreneurial
74,87,61,Technology,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
81,61,83,Medicine,Premium Investment,Western Cape,Flexible Learning,Quick Employment
73,65,93,Social Sciences,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
85,68,86,Business,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
87,92,60,Business,Balanced,Other Provinces,Flexible Learning,Quick Employment
82,84,67,Engineering,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
73,72,82,Technology,Premium Investment,Gauteng,Structured Learning,Quick Employment
83,68,65,Medicine,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
61,72,81,Mathematics,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
85,90,84,Business,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
73,70,77,Medicine,Budget Conscious,Other Provinces,Flexible Learning,Long-term Growth
66,63,76,Education,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
62,93,71,Social Sciences,Balanced,Gauteng,Flexible Learning,Long-term Growth
82,63,65,Technology,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
77,78,85,Engineering,Balanced,Western Cape,Structured Learning,Entrepreneurial
94,65,86,Law,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
74,93,67,Business,Balanced,Other Provinces,Hands-on Practical,Quick Employment
84,77,78,Education,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
87,72,60,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
69,82,88,Medicine,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
76,78,94,Science,Balanced,Gauteng,Flexible Learning,Quick Employment
81,70,73,Environment,Balanced,Western Cape,Flexible Learning,Entrepreneurial
85,60,94,Technology,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
84,83,79,Technology,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
76,66,72,Education,Balanced,Western Cape,Hands-on Practical,Long-term Growth
72,84,67,Medicine,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
79,80,79,Arts,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
84,74,92,Technology,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
63,60,85,Arts,Balanced,Western Cape,Hands-on Practical,Long-term Growth
69,71,80,Mathematics,Balanced,Gauteng,Flexible Learning,Long-term Growth
62,66,68,Science,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
77,74,83,Education,Balanced,Gauteng,Flexible Learning,Entrepreneurial
95,80,76,Medicine,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
81,78,83,Medicine,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
93,88,80,Sports,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
67,84,72,Mathematics,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
78,92,70,Mathematics,Premium Investment,Other Provinces,Hands-on Practical,Quick Employment
65,91,78,Social Sciences,Budget Conscious,Western Cape,Flexible Learning,Quick Employment
85,94,70,Environment,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
93,85,72,Business,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
65,70,60,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
92,94,78,Sports,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
81,67,71,Law,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
80,73,67,Engineering,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
65,69,67,Education,Premium Investment,Kwazulu-Natal,Hands-on Practical,Quick Employment
65,61,71,Science,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
63,68,92,Medicine,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
89,62,85,Environment,Balanced,Anywhere in SA,Structured Learning,Entrepreneurial
70,80,87,Arts,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
89,85,64,Education,Premium Investment,Western Cape,Hands-on Practical,Quick Employment
90,67,67,Law,Balanced,Other Provinces,Structured Learning,Quick Employment
83,61,84,Education,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
68,65,86,Law,Budget Conscious,Other Provinces,Hands-on Practical,Entrepreneurial
62,87,82,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
90,88,89,Engineering,Balanced,Other Provinces,Flexible Learning,Long-term Growth
95,85,82,Law,Balanced,Gauteng,Structured Learning,Long-term Growth
83,84,79,Medicine,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
90,71,77,Medicine,Budget Conscious,Gauteng,Structured Learning,Long-term Growth
65,64,77,Engineering,Budget Conscious,Western Cape,Structured Learning,Quick Employment
61,93,61,Business,Balanced,Other Provinces,Structured Learning,Long-term Growth
79,74,63,Education,Budget Conscious,Gauteng,Hands-on Practical,Quick Employment
87,95,89,Sports,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
70,74,92,Technology,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
63,82,95,Technology,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
74,65,77,Sports,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
65,80,78,Arts,Balanced,Other Provinces,Flexible Learning,Quick Employment
89,82,87,Mathematics,Balanced,Gauteng,Structured Learning,Long-term Growth
61,75,79,Arts,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
74,74,92,Mathematics,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
70,84,71,Sports,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
67,95,74,Technology,Balanced,Gauteng,Flexible Learning,Quick Employment
85,70,61,Science,Premium Investment,Gauteng,Flexible Learning,Quick Employment
64,74,88,Technology,Balanced,Western Cape,Structured Learning,Quick Employment
65,63,69,Arts,Premium Investment,Kwazulu-Natal,Hands-on Practical,Quick Employment
85,80,61,Environment,Premium Investment,Kwazulu-Natal,Hands-on Practical,Quick Employment
63,72,70,Sports,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
78,81,72,Arts,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
79,78,69,Science,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
92,93,73,Education,Budget Conscious,Other Provinces,Flexible Learning,Long-term Growth
79,73,77,Mathematics,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
71,63,68,Technology,Budget Conscious,Gauteng,Hands-on Practical,Entrepreneurial
60,86,87,Engineering,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
85,88,62,Environment,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
73,87,79,Medicine,Balanced,Other Provinces,Structured Learning,Entrepreneurial
70,94,65,Science,Balanced,Other Provinces,Flexible Learning,Quick Employment
95,67,86,Arts,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
72,75,61,Mathematics,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
62,95,88,Engineering,Balanced,Anywhere in SA,Structured Learning,Entrepreneurial
92,89,62,Law,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
65,77,75,Business,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
69,61,89,Technology,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
64,72,61,Business,Budget Conscious,Anywhere in SA,Hands-on Practical,Long-term Growth
82,63,76,Science,Balanced,Western Cape,Structured Learning,Long-term Growth
69,85,71,Law,Balanced,Gauteng,Hands-on Practical,Long-term Growth
61,84,94,Law,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
72,89,60,Law,Budget Conscious,Anywhere in SA,Structured Learning,Quick Employment
61,70,74,Medicine,Premium Investment,Western Cape,Flexible Learning,Quick Employment
79,66,85,Science,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
60,90,80,Education,Balanced,Anywhere in SA,Structured Learning,Quick Employment
68,69,90,Business,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
76,72,84,Education,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
68,90,82,Engineering,Budget Conscious,Western Cape,Flexible Learning,Long-term Growth
70,66,83,Social Sciences,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
74,95,87,Environment,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
83,79,80,Environment,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
94,63,77,Education,Balanced,Gauteng,Structured Learning,Entrepreneurial
89,66,95,Social Sciences,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
90,60,94,Social Sciences,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
64,72,68,Technology,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
73,81,89,Engineering,Balanced,Western Cape,Structured Learning,Long-term Growth
70,80,93,Science,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
68,81,91,Social Sciences,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
93,87,62,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Long-term Growth
71,68,62,Sports,Balanced,Western Cape,Structured Learning,Long-term Growth
94,85,87,Environment,Premium Investment,Gauteng,Hands-on Practical,Long-term Growth
94,68,74,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
60,74,82,Engineering,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
81,69,70,Social Sciences,Premium Investment,Kwazulu-Natal,Flexible Learning,Long-term Growth
88,83,91,Business,Balanced,Gauteng,Hands-on Practical,Quick Employment
67,67,95,Environment,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
70,83,92,Technology,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
73,75,83,Mathematics,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,85,93,Technology,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
94,86,87,Sports,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
80,63,66,Law,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
64,83,63,Mathematics,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
78,78,60,Medicine,Premium Investment,Western Cape,Flexible Learning,Quick Employment
73,95,60,Social Sciences,Balanced,Gauteng,Flexible Learning,Long-term Growth
85,69,79,Engineering,Budget Conscious,Western Cape,Structured Learning,Quick Employment
63,84,78,Environment,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
84,77,88,Medicine,Balanced,Other Provinces,Structured Learning,Entrepreneurial
84,78,69,Engineering,Balanced,Other Provinces,Flexible Learning,Long-term Growth
77,95,77,Sports,Premium Investment,Anywhere in SA,Flexible Learning,Entrepreneurial
67,69,87,Education,Premium Investment,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
73,92,94,Social Sciences,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
91,64,90,Science,Premium Investment,Western Cape,Hands-on Practical,Quick Employment
92,94,86,Science,Premium Investment,Western Cape,Structured Learning,Long-term Growth
82,93,70,Social Sciences,Budget Conscious,Western Cape,Structured Learning,Quick Employment
74,92,64,Mathematics,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
92,80,67,Law,Balanced,Western Cape,Flexible Learning,Entrepreneurial
84,76,93,Law,Budget Conscious,Kwazulu-Natal,Flexible Learning,Long-term Growth
76,81,71,Mathematics,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
92,74,60,Science,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
61,94,90,Business,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
73,87,63,Mathematics,Balanced,Gauteng,Flexible Learning,Entrepreneurial
65,66,64,Environment,Balanced,Gauteng,Hands-on Practical,Long-term Growth
65,91,89,Science,Balanced,Gauteng,Flexible Learning,Entrepreneurial
62,70,83,Business,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
66,69,62,Sports,Budget Conscious,Western Cape,Flexible Learning,Quick Employment
67,68,70,Medicine,Budget Conscious,Other Provinces,Structured Learning,Long-term Growth
74,73,63,Business,Premium Investment,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
88,72,85,Medicine,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
92,84,86,Engineering,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
89,61,86,Arts,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
86,94,65,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
95,66,74,Science,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
88,80,89,Medicine,Premium Investment,Western Cape,Flexible Learning,Quick Employment
92,77,94,Science,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
86,62,82,Mathematics,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
92,70,65,Social Sciences,Premium Investment,Kwazulu-Natal,Flexible Learning,Long-term Growth
63,83,63,Environment,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
81,78,77,Technology,Premium Investment,Gauteng,Structured Learning,Long-term Growth
61,63,68,Science,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
69,85,88,Environment,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
64,91,72,Mathematics,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
69,95,76,Business,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
92,92,91,Mathematics,Balanced,Kwazulu-Natal,Hands-on Practical,Long-term Growth
72,95,81,Sports,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
90,62,63,Engineering,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
95,68,64,Business,Balanced,Other Provinces,Structured Learning,Entrepreneurial
83,67,72,Technology,Balanced,Western Cape,Flexible Learning,Entrepreneurial
74,92,93,Medicine,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
88,65,81,Social Sciences,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
67,63,82,Environment,Premium Investment,Gauteng,Structured Learning,Quick Employment
64,72,62,Social Sciences,Balanced,Other Provinces,Hands-on Practical,Long-term Growth
88,61,93,Arts,Balanced,Kwazulu-Natal,Hands-on Practical,Quick Employment
63,64,91,Mathematics,Budget Conscious,Kwazulu-Natal,Flexible Learning,Quick Employment
71,86,80,Science,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
61,91,80,Medicine,Balanced,Kwazulu-Natal,Flexible Learning,Long-term Growth
86,80,70,Arts,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
90,67,63,Mathematics,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
95,67,60,Education,Budget Conscious,Other Provinces,Hands-on Practical,Entrepreneurial
95,62,87,Science,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
85,62,83,Business,Premium Investment,Other Provinces,Structured Learning,Quick Employment
86,81,94,Engineering,Balanced,Anywhere in SA,Structured Learning,Quick Employment
64,65,72,Environment,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
79,61,93,Sports,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
70,82,70,Technology,Premium Investment,Gauteng,Hands-on Practical,Long-term Growth
69,61,95,Technology,Balanced,Gauteng,Structured Learning,Long-term Growth
65,76,76,Business,Premium Investment,Gauteng,Structured Learning,Quick Employment
67,94,94,Law,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
82,93,77,Technology,Balanced,Gauteng,Hands-on Practical,Quick Employment
85,82,81,Environment,Balanced,Western Cape,Hands-on Practical,Long-term Growth
71,89,83,Business,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
85,67,78,Medicine,Premium Investment,Other Provinces,Structured Learning,Quick Employment
72,81,80,Technology,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
77,95,67,Social Sciences,Balanced,Gauteng,Flexible Learning,Entrepreneurial
84,64,87,Business,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
92,72,64,Environment,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
71,88,76,Social Sciences,Premium Investment,Western Cape,Structured Learning,Quick Employment
95,90,95,Science,Premium Investment,Gauteng,Flexible Learning,Quick Employment
63,75,78,Science,Premium Investment,Gauteng,Structured Learning,Quick Employment
64,89,86,Technology,Balanced,Western Cape,Flexible Learning,Quick Employment
67,75,93,Social Sciences,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
87,71,70,Engineering,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
90,76,71,Mathematics,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
68,75,80,Science,Balanced,Gauteng,Flexible Learning,Long-term Growth
88,71,70,Engineering,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
73,67,87,Medicine,Balanced,Other Provinces,Flexible Learning,Long-term Growth
81,79,64,Business,Balanced,Other Provinces,Structured Learning,Quick Employment
70,62,76,Mathematics,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
82,75,79,Arts,Balanced,Other Provinces,Structured Learning,Entrepreneurial
60,89,71,Environment,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
80,82,65,Sports,Balanced,Other Provinces,Flexible Learning,Quick Employment
85,87,76,Business,Balanced,Other Provinces,Hands-on Practical,Long-term Growth
95,64,78,Mathematics,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Environment,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
60,60,91,Mathematics,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
74,89,65,Social Sciences,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
80,80,95,Medicine,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
68,79,70,Education,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
68,65,92,Sports,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
69,81,83,Technology,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
85,77,82,Mathematics,Premium Investment,Western Cape,Structured Learning,Quick Employment
94,67,74,Environment,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
84,91,86,Environment,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
85,92,70,Social Sciences,Balanced,Western Cape,Structured Learning,Long-term Growth
70,75,76,Engineering,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
61,71,73,Business,Balanced,Gauteng,Structured Learning,Entrepreneurial
66,93,86,Education,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
77,73,77,Law,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
86,95,87,Technology,Balanced,Other Provinces,Flexible Learning,Long-term Growth
93,92,63,Arts,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
86,82,66,Law,Premium Investment,Western Cape,Structured Learning,Long-term Growth
76,61,94,Business,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
83,80,68,Technology,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
84,61,67,Environment,Balanced,Gauteng,Hands-on Practical,Long-term Growth
66,86,76,Arts,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
65,68,76,Mathematics,Balanced,Gauteng,Hands-on Practical,Quick Employment
83,60,92,Engineering,Balanced,Western Cape,Flexible Learning,Entrepreneurial
92,70,91,Education,Premium Investment,Anywhere in SA,Flexible Learning,Entrepreneurial
88,62,67,Mathematics,Balanced,Kwazulu-Natal,Hands-on Practical,Quick Employment
81,82,78,Engineering,Budget Conscious,Other Provinces,Flexible Learning,Long-term Growth
85,85,62,Medicine,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
87,63,64,Social Sciences,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
80,77,72,Technology,Balanced,Anywhere in SA,Structured Learning,Long-term Growth
66,65,90,Mathematics,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
76,94,75,Engineering,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
79,81,91,Law,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
79,74,81,Social Sciences,Budget Conscious,Anywhere in SA,Hands-on Practical,Quick Employment
81,81,88,Engineering,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
87,71,81,Science,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
66,77,62,Medicine,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
60,94,69,Business,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
91,89,80,Mathematics,Balanced,Western Cape,Hands-on Practical,Quick Employment
